,post_id,user_id,score,view_count,comment_count,favorite_count,Unnamed: 0,display_name,about_me,age,creation_date,last_access_date,location,reputation,up_votes,down_votes,views,profile_image_url,website_url
16,32661087,683553.0,-1,19,3,0.0,12369,Satch3000,,,2011-03-30 08:24:48.333000+00:00,2016-10-30 08:02:18.873000+00:00,United Kingdom,36082,1262,11,1723,,
69,33018072,38522.0,-1,19,1,,511,Ben Aston,,,2008-11-18 10:18:37.513000+00:00,2020-05-30 21:22:55.673000+00:00,United Kingdom,42081,2329,269,3297,https://www.gravatar.com/avatar/3bb16be62cc72437f564a4d0417c4064?s=128&d=identicon&r=PG&f=1,
71,32328862,38522.0,-1,18,2,,511,Ben Aston,,,2008-11-18 10:18:37.513000+00:00,2020-05-30 21:22:55.673000+00:00,United Kingdom,42081,2329,269,3297,https://www.gravatar.com/avatar/3bb16be62cc72437f564a4d0417c4064?s=128&d=identicon&r=PG&f=1,
74,31301174,38522.0,-1,10,1,,511,Ben Aston,,,2008-11-18 10:18:37.513000+00:00,2020-05-30 21:22:55.673000+00:00,United Kingdom,42081,2329,269,3297,https://www.gravatar.com/avatar/3bb16be62cc72437f564a4d0417c4064?s=128&d=identicon&r=PG&f=1,
115,21867051,1939492.0,0,17,2,,9102,vik1924,,,2012-12-31 10:51:42.373000+00:00,2014-03-29 14:01:13.047000+00:00,United Kingdom,25,0,0,23,,
116,31038301,4295902.0,0,10,0,,14366,Herry,,,2014-11-26 12:25:00.340000+00:00,2015-12-28 22:21:07.917000+00:00,United Kingdom,1,0,0,4,https://www.gravatar.com/avatar/c53d757f52ef71d9b59d698abda1c369?s=128&d=identicon&r=PG&f=1,
157,36988899,3749729.0,-1,12,0,,7181,spudmonkee,<p>Software Engineering Student from the UK.</p>,,2014-06-17 18:21:26.183000+00:00,2020-01-25 21:20:04.693000+00:00,United Kingdom,161,11,17,7,https://www.gravatar.com/avatar/932baac88e0a863c764e98acc6ba9854?s=128&d=identicon&r=PG&f=1,
163,34833616,351170.0,-1,14,3,,3284,Richard,<p>Is living La Vida Coder!</p>,,2010-05-26 16:53:25.347000+00:00,2020-05-29 17:08:07.710000+00:00,United Kingdom,1070,29,2,131,,http://www.barringtonmedia.co.uk
182,35864852,11755.0,-1,18,0,,9855,dagda1,,,2008-09-16 10:57:26.337000+00:00,2020-05-30 21:52:11.053000+00:00,United Kingdom,22166,471,56,2569,,http://thesoftwaresimpleton.com/
192,35486262,11755.0,-1,15,1,,9855,dagda1,,,2008-09-16 10:57:26.337000+00:00,2020-05-30 21:52:11.053000+00:00,United Kingdom,22166,471,56,2569,,http://thesoftwaresimpleton.com/
199,37121652,4332108.0,-1,18,2,,3557,Cameron Lyall,,,2014-12-06 15:08:36.003000+00:00,2019-05-22 09:47:15.967000+00:00,United Kingdom,64,9,0,15,https://i.stack.imgur.com/OOxjo.jpg?s=128&g=1,
201,37120260,1041364.0,-1,14,0,,3252,Andrew Stubbs,<p>Software Engineer</p>,,2011-11-11 09:04:58.470000+00:00,2020-05-30 09:22:42.307000+00:00,United Kingdom,3501,327,604,383,,http://N/A
205,33319789,1019893.0,-1,18,1,,565,Bill,,,2011-10-29 15:25:49.283000+00:00,2020-05-30 13:00:36.670000+00:00,United Kingdom,1706,114,4,216,,
207,34974552,701867.0,-1,16,2,,970,James Baker,,,2011-04-11 09:21:30.307000+00:00,2020-05-28 08:22:27.763000+00:00,United Kingdom,925,199,13,101,,
227,33758207,630780.0,-1,15,0,,6631,Carl Markham,"<p><a href=""http://cjmarkham.co.uk"" rel=""nofollow"">Cjmarkham.co.uk</a></p>",,2011-02-23 18:05:52.573000+00:00,2020-05-30 00:28:35.167000+00:00,United Kingdom,7347,331,972,655,https://i.stack.imgur.com/fskbD.png?s=128&g=1,http://cjmarkham.co.uk
228,34682531,630780.0,0,14,1,,6631,Carl Markham,"<p><a href=""http://cjmarkham.co.uk"" rel=""nofollow"">Cjmarkham.co.uk</a></p>",,2011-02-23 18:05:52.573000+00:00,2020-05-30 00:28:35.167000+00:00,United Kingdom,7347,331,972,655,https://i.stack.imgur.com/fskbD.png?s=128&g=1,http://cjmarkham.co.uk
229,37618192,630780.0,0,19,0,,6631,Carl Markham,"<p><a href=""http://cjmarkham.co.uk"" rel=""nofollow"">Cjmarkham.co.uk</a></p>",,2011-02-23 18:05:52.573000+00:00,2020-05-30 00:28:35.167000+00:00,United Kingdom,7347,331,972,655,https://i.stack.imgur.com/fskbD.png?s=128&g=1,http://cjmarkham.co.uk
230,27017336,630780.0,0,19,0,,6631,Carl Markham,"<p><a href=""http://cjmarkham.co.uk"" rel=""nofollow"">Cjmarkham.co.uk</a></p>",,2011-02-23 18:05:52.573000+00:00,2020-05-30 00:28:35.167000+00:00,United Kingdom,7347,331,972,655,https://i.stack.imgur.com/fskbD.png?s=128&g=1,http://cjmarkham.co.uk
239,33078084,1006010.0,1,12,1,,6790,MathematicalOrchid,"<p>I am a mathematics enthusiast, although I have no formal training. What I know is what I've been able to glean from searching Wikipedia.</p>

<p>I enjoy writing computer programs, although I have never been employed as a programmer. I've used two-dozen different programming languages, but my current favourite is Haskell.</p>

<p>I also have an interest in various areas of science.</p>

<p>On top of all that, I'm also a bad musician, a mediocre dancer, and a very bad juggler. :-P</p>",,2011-10-20 20:24:21.650000+00:00,2020-05-29 15:39:34.327000+00:00,United Kingdom,56330,5581,1,2751,,
241,35877018,5255941.0,-1,17,0,,12290,TaxpayersMoney,"<p>Dilettante with no training, learning by plagiarism and trial and error.</p>",,2015-08-22 21:00:50.020000+00:00,2020-05-30 19:13:16.837000+00:00,United Kingdom,429,36,9,38,https://graph.facebook.com/10155976868250230/picture?type=large,
242,35725444,1084416.0,0,10,0,,3120,Peter Wood,"<p>#SOreadytohelp</p>

<p>I currently work fulltime in <a href=""http://stackoverflow.com/tags/python/info"">Python</a>, although for most of my career I have mainly worked in <a href=""http://stackoverflow.com/tags/c%2b%2b/info"">C++</a>.</p>

<p>I like <a href=""http://stackoverflow.com/tags/sicp/info"">SICP</a>, <a href=""http://stackoverflow.com/questions/tagged/extreme-programming"">eXtreme Programming</a>, and simplicity.</p>

<p>I'm a fan of <a href=""http://sethgodin.typepad.com/"" rel=""nofollow"">Seth Godin</a>.</p>

<p>I play <a href=""http://cockburnproject.net/"" rel=""nofollow"">Bruce Cockburn</a> covers on my acoustic guitar, and on my <a href=""http://www.prsguitars.com/sesantana/"" rel=""nofollow"">PRS</a> am trying to learn some simpler Joe Satriani.</p>",,2011-12-06 21:32:20.040000+00:00,2020-05-30 16:47:43.100000+00:00,United Kingdom,19698,3191,2692,4817,https://i.stack.imgur.com/RLhZZ.jpg?s=128&g=1,http://blog.rootle.it
262,34362594,1229237.0,0,14,0,,6458,Darren Hale,"<p>Seasoned .NET Developer.</p>

<p>Computer Science graduate from Portsmouth University. </p>

<p>Software Engineer at JDI.</p>",,2012-02-23 19:52:28.740000+00:00,2020-05-29 11:09:29.470000+00:00,United Kingdom,1571,3753,1,155,https://i.stack.imgur.com/rXCpF.jpg?s=128&g=1,
263,36724546,1229237.0,0,19,0,,6458,Darren Hale,"<p>Seasoned .NET Developer.</p>

<p>Computer Science graduate from Portsmouth University. </p>

<p>Software Engineer at JDI.</p>",,2012-02-23 19:52:28.740000+00:00,2020-05-29 11:09:29.470000+00:00,United Kingdom,1571,3753,1,155,https://i.stack.imgur.com/rXCpF.jpg?s=128&g=1,
281,35397328,102441.0,0,17,0,,6147,Eric,"<p>Roboticist, engineer, and web developer</p>

<p>Part of the NumPy development team</p>",,2009-05-06 19:45:03.483000+00:00,2020-05-29 18:06:50.997000+00:00,United Kingdom,81684,2603,740,6553,,http://ericwieser.me/
282,36923309,102441.0,0,14,0,,6147,Eric,"<p>Roboticist, engineer, and web developer</p>

<p>Part of the NumPy development team</p>",,2009-05-06 19:45:03.483000+00:00,2020-05-29 18:06:50.997000+00:00,United Kingdom,81684,2603,740,6553,,http://ericwieser.me/
283,35873641,102441.0,1,19,0,,6147,Eric,"<p>Roboticist, engineer, and web developer</p>

<p>Part of the NumPy development team</p>",,2009-05-06 19:45:03.483000+00:00,2020-05-29 18:06:50.997000+00:00,United Kingdom,81684,2603,740,6553,,http://ericwieser.me/
284,35566927,102441.0,0,13,2,,6147,Eric,"<p>Roboticist, engineer, and web developer</p>

<p>Part of the NumPy development team</p>",,2009-05-06 19:45:03.483000+00:00,2020-05-29 18:06:50.997000+00:00,United Kingdom,81684,2603,740,6553,,http://ericwieser.me/
290,35319646,3348196.0,-1,17,0,,12901,MyiWorld,"<p>I am a 15 year old developer who is enthusiastic with coding. I enjoy making visual basic applications, and doing web development in programs such as HTML, PHP and CSS.
In the future i would like to expand my knowledge by learning C++ to help me become a games developer.</p>",,2014-02-24 19:32:37.290000+00:00,2016-07-06 06:22:59.300000+00:00,United Kingdom,51,7,0,22,https://i.stack.imgur.com/LJWdl.png,http://myiworld.co.uk
291,35686303,3348196.0,-1,20,1,,12901,MyiWorld,"<p>I am a 15 year old developer who is enthusiastic with coding. I enjoy making visual basic applications, and doing web development in programs such as HTML, PHP and CSS.
In the future i would like to expand my knowledge by learning C++ to help me become a games developer.</p>",,2014-02-24 19:32:37.290000+00:00,2016-07-06 06:22:59.300000+00:00,United Kingdom,51,7,0,22,https://i.stack.imgur.com/LJWdl.png,http://myiworld.co.uk
298,25267915,3395049.0,0,20,3,,674,Rahul Khosla,,,2014-03-08 03:14:10.837000+00:00,2015-07-21 11:29:55.257000+00:00,United Kingdom,160,14,0,105,https://i.stack.imgur.com/rIMb1.jpg,http://pointandquack.com
362,37505148,5661248.0,-2,17,1,,2939,Bradley Dale,,,2015-12-09 21:09:57.370000+00:00,2020-05-13 22:57:29.087000+00:00,United Kingdom,23,0,0,14,https://graph.facebook.com/987469544609241/picture?type=large,
364,33993680,1872530.0,-2,17,0,,12269,Fawad Shah,,,2012-12-03 12:12:28.997000+00:00,2020-04-20 21:53:13.870000+00:00,United Kingdom,1310,32,1,72,,
381,33289533,1341935.0,-1,20,2,,1016,racemic,<p>Full Stack Developer</p>,,2012-04-18 16:17:59.637000+00:00,2020-05-25 11:14:19.690000+00:00,United Kingdom,4445,282,4,233,https://i.stack.imgur.com/tsJpn.jpg?s=128&g=1,
401,37240492,3894430.0,-1,19,0,,6343,Dave Cooper,"<p>I'm Dave and I like to write the codes.</p>

<p>Give me a buzz if you want to talk about the codes.</p>",,2014-07-31 06:54:49.310000+00:00,2020-05-29 21:06:23.047000+00:00,United Kingdom,8083,600,13,208,https://i.stack.imgur.com/zGwH7.jpg?s=128&g=1,https://davecooper.dev
