reputation,views,up_votes,down_votes,score,view_count,comment_count
,3598.0,,,,,
,3598.0,,,,,
,,1362.0,,2.0,,
,,,,1.0,,4.0
,,,,,,
,,,,1.0,,
,,,,,,
,,,,,,
,,,,,,
,,,,1.0,,
,,,,,,
,,,,,,
,,,,1.0,,
,,,,,,
,,,,,,
,,,,2.0,,
,,,,,,3.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,1.0,,
,,,,2.0,,
,,,,,,
,,,,,,4.0
,,,,,,
,,,,1.0,,
,,,,,,
,,,,,,
58371.0,3667.0,2248.0,574.0,,,
,1225.0,,121.0,,,
,1225.0,,121.0,,,
21815.0,1305.0,2100.0,,,,
,,,,,,
,,,,,,5.0
,,1171.0,,1.0,,
,,,,,,
,,,,,,
,,,,1.0,,
,,,,,,
,,,,2.0,,
,,,,,,
,,,,,,
13685.0,4473.0,920.0,778.0,2.0,,
,,,,,,
,,,,,,
,1285.0,,,,,
,1285.0,,,,,
,1285.0,,,,,
,1285.0,,,,,
,1285.0,,,,,
,1285.0,,,,,
,1285.0,,,1.0,,3.0
,1332.0,,,,,
,1332.0,,,,,
,1332.0,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,4.0
,,,,,,
,,,,1.0,,
,,,,,,4.0
,,,,,,
,,,,,,6.0
,,,,1.0,,
,,,,3.0,,
,,,,,,
,,,,,,
,,,,1.0,,
,,,,,,
,,,,2.0,,
,,,,,,
,,,,,,
,,,,1.0,,
,,,,,,
,,,,1.0,,
,,,,,,3.0
,,,,,,
,,,,,,
,,,,1.0,,
,,,,,,8.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,3.0
,,,,1.0,,
,,,,,,
,,,,,,3.0
244872.0,11737.0,934.0,98.0,,,
244872.0,11737.0,934.0,98.0,,,
244872.0,11737.0,934.0,98.0,,,
244872.0,11737.0,934.0,98.0,1.0,,
244872.0,11737.0,934.0,98.0,1.0,,
244872.0,11737.0,934.0,98.0,1.0,,
244872.0,11737.0,934.0,98.0,,,
,,,,1.0,,3.0
14293.0,,1880.0,,,,
42081.0,3297.0,2329.0,269.0,,,
42081.0,3297.0,2329.0,269.0,,,
42081.0,3297.0,2329.0,269.0,,,
42081.0,3297.0,2329.0,269.0,,,
42081.0,3297.0,2329.0,269.0,,,
42081.0,3297.0,2329.0,269.0,,,
42081.0,3297.0,2329.0,269.0,2.0,,4.0
42081.0,3297.0,2329.0,269.0,1.0,,
42081.0,3297.0,2329.0,269.0,,,
42081.0,3297.0,2329.0,269.0,,,
42081.0,3297.0,2329.0,269.0,,,
42081.0,3297.0,2329.0,269.0,,,
42081.0,3297.0,2329.0,269.0,,,
42081.0,3297.0,2329.0,269.0,,,
42081.0,3297.0,2329.0,269.0,,,
42081.0,3297.0,2329.0,269.0,,,
42081.0,3297.0,2329.0,269.0,,,
42081.0,3297.0,2329.0,269.0,,,
42081.0,3297.0,2329.0,269.0,,,
,,1441.0,,,,4.0
,,,,,,
,,,,,,4.0
,,,,,,
,,,,,,
,,,,,,
13076.0,,1697.0,,,,
,,,,,,
,,,,,,
,,,,,,3.0
,,,,1.0,,
,,,,,,
,,,,,,3.0
,,,,,,
,,,,,,
,,,,,,3.0
,,979.0,96.0,,,
,,,,1.0,,
,,,,1.0,,
23569.0,1575.0,1908.0,,1.0,,
,,,,1.0,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,1.0,,3.0
,,,,,,5.0
17578.0,,,,,,4.0
,,,,,,
,,,,,,
,,,,1.0,,
,,,,,,
,,,,1.0,,
,,,,,,3.0
,,,,,,
,,,,,,3.0
,,,,,,3.0
,,,,,,10.0
,,,,,,
,,,,1.0,,
